order_item_id,order_id,product_id,quantity,price
a5e44fc9-a5e4-4720-94ac-f21c57f74f17,02a68851-7be3-47b0-ac40-72bd34648c24,ac9070ac-6c6d-4789-9278-abf758649037,2,1266.92
0fd2ca9b-9270-4e5d-b203-18009252364b,39e1bd56-4f18-40d1-af4f-6c273aef7e1a,5b7467c3-ad4a-4bde-b6fb-21d9d1dafede,1,492.18
5391f04a-3831-4706-ac1b-8f48620ff76c,a58d269b-8092-4773-9a34-0076ab75814e,4b73ef8d-d366-4cb6-aa17-6692070bb9d7,1,3067.6
f0797238-fcc1-4f86-b015-e87d0db89470,68b0d641-740e-493d-8fc4-ab7fa195b79e,211769d8-39f9-4eac-8a9a-a889720a7637,1,1627.25
77285a5f-3920-4950-a8d4-1489e0125d19,d41a7366-b77d-421f-9192-817bb9351c57,4f300925-56a1-4f27-b3d0-e35c9870718b,2,143.09
174ea90a-ebc9-447b-a7a6-984eb0690840,c2afe0e6-1078-496b-b4f0-a825912342bd,75b2f987-83f8-4dbf-81cc-a76e3b5054d8,1,1330.51
e4a428cc-ce79-47f5-9072-c419c1289b5f,44a5d4c1-e0ed-4bf5-86e0-131acc30109f,8de16c96-5739-48be-8369-6aa0a6c65043,2,2925.81
9edcfb19-8402-4331-862a-f554ace75661,96209f6e-405b-4d3c-bc02-c74282e4ef99,dedad738-a806-4cfa-a39c-4f3e3fd845e7,2,201.76
31e5b6ea-5b46-4a5e-80b5-c00091bae158,78dbbf59-3737-469b-b386-ae8b6f004093,3bb5c858-5de4-4eb0-b7d3-20263eb7703b,3,2786.15
98a2d673-cb49-46c1-b2f4-d9b3c0ebaa16,dee59777-2411-4c07-a683-c2a05f3a52bf,80a90d5d-02bd-409b-98ae-06c2a23208d9,4,2629.38
f3c5ad24-ca41-4bd9-99f2-d0a1e54d4fcd,ec8973bb-e66d-4bac-a6af-53bd2eb4cd30,2795e2ea-0515-4ad6-adeb-809a42117ca9,1,2899.94
c12ed0fb-8255-4a6f-b244-155e0baae47c,f2fa9d4d-ea58-4854-b0ce-84aba1d87028,bc8fd274-09f3-444c-9833-d4c0df31b880,4,4849.24
2616fc61-1a98-4744-8791-49f1fe18c149,67201242-af4a-4ee4-933e-47e33ae6d040,e51d342e-5dfe-448a-8f95-4d0a28c14933,3,1857.84
4637f095-7bfe-45b3-9a78-d20fdc6fe873,96209f6e-405b-4d3c-bc02-c74282e4ef99,461c77a7-1dd6-4d33-bfc0-a68f73ebf53f,4,1675.89
ff48d0ea-ea77-44b0-aabb-352055ee9414,e1073275-3eec-4304-9336-f5ee946e675a,ee18af4a-564d-4739-93ff-fd63d7c03d96,4,4770.89
0e92def2-5acc-4f03-a707-18aec71ef5db,9764a7ad-48ca-4430-aa23-282c989fdf3a,0dbef814-582d-433a-88dd-342fd68c21d2,1,2131.11
bde6603c-12f9-46b5-9bb9-d869f1bcf28e,aad3fc91-6dcc-4eba-a00f-ab6eabd99753,9978171c-1c87-4d5c-881a-1d0046c8deff,1,3308.39
5ab3e8fb-1c5e-46db-aad9-dc4637324dcf,a7ae4fc3-3cb5-4415-a603-e9dc2634dbd1,f8029476-09a6-4e61-89ef-b67c20d4c520,1,2258.36
d0aa4773-bfa1-4984-9ff7-ca15aba8f00a,fe21afb2-c15c-499f-be5f-19e421f87e5f,d13a9b48-8c9e-458f-89f8-d61946f1bcc3,1,156.52
96797705-1a4c-4aa5-95c7-9db034669e3b,03d8d836-1d30-4226-9b26-7c36c8b3a459,7f6ce866-56dc-41db-b96f-0380683300bb,4,1325.92
8f28853d-53bf-4b61-8ca5-a491641130ee,fd610302-1fdd-4796-a379-59225e047fad,7b8a86c9-bed5-4093-862b-f64d218eabe1,2,1645.13
6a4da0df-34a4-4e8c-9c3e-f6fd38d25a3b,6c2e24dc-0fe4-4545-bd59-a0f95585c4ad,994314ec-dd3c-4f66-8439-07724dc7a119,2,2808.26
757b731d-fc75-4cbc-834d-d1790047905f,190870e4-aa44-4c51-9fdb-2b7245fc6eed,bb482335-4c5e-4d17-87d8-900b14d0385e,4,981.37
b8dd6c90-d81a-4584-8d56-fa73cd672b16,677ce32a-b086-47e7-8fa0-74e9f7386f42,48adeb93-523d-4407-846e-ab39fb8f9453,1,2423.02
0c8073f2-aa3c-46e6-9b89-36a653cb58c6,9ba4f29e-f1cb-4f9b-b6eb-e0795e3bb4ff,2020a446-eca5-48d5-bb05-8356b1fb2b17,1,2506.75
ef229822-443c-4162-b32f-cf1e7b2bdd0c,1273c594-3e7e-403e-b2cf-71fd78ed517a,c9b867ef-a0f4-496c-a8fe-09fbb42a2256,1,3755.42
47c0a773-07f3-4640-a563-3ea35d14bc58,02a68851-7be3-47b0-ac40-72bd34648c24,bc8fd274-09f3-444c-9833-d4c0df31b880,4,4152.88
