review_id,customer_id,product_id,rating,review_text,review_date
af6ce598-4d9b-456f-bb51-e1f9fbe608b0,346cf19d-2405-4cc1-b51f-a9a896a5a82c,7b8a86c9-bed5-4093-862b-f64d218eabe1,1,Those view world political table remain.,2025-09-06
6f429556-113b-4c6c-be25-9bb72f660739,b2edaee6-4921-4ed3-b8d5-3ed3d9f8559e,9cbab7bd-4948-4abe-8897-9ea632a7ef9e,5,Low behavior travel western wide.,2024-11-19
dee42503-7b1c-4e17-aa80-8ee5be50bed9,d6898bca-c802-425d-96c5-de83f2ecb218,46347c3d-2d23-47ab-8712-5ab7cd59d954,4,So perform do.,2025-06-04
c28e7a7f-faaf-4dde-8987-f47a6a9ca805,9fdefffe-af32-498e-bca5-61d8084b7df7,97280924-9215-420f-9b85-c5b7b753d03c,2,Daughter try per skill look size give.,2025-06-12
0964a173-2331-42a5-b4bb-7274ff97d42a,e4ab26e8-605d-492f-b5da-aa0c9a21f958,9978171c-1c87-4d5c-881a-1d0046c8deff,1,Billion health entire indeed.,2025-09-30
7f1f2b36-ddb3-4158-bed7-915de4e7249d,34676813-95b2-4398-9c18-a0be3e94176f,b3a1f5e9-6d10-41d8-a2eb-720edc462ec6,4,Rise capital approach.,2025-08-07
c54aa52f-c3c2-4fa2-bcce-764a0621accb,886e59a5-2f80-430b-a684-35283e4f086c,af32713f-5749-4b58-9e5e-927f2aa9b3d8,4,Congress if their season big wife situation.,2025-10-11
d531220e-e95d-4b56-acc9-d93dd1a3451b,3148b58f-982e-4999-8e46-6ce8611281b7,56441243-dacb-4aef-9b86-77a6af290ca2,3,Find growth lead would draw.,2025-04-03
78b42207-ff03-475f-a04b-e293e5a5f5fa,b54320f1-20f0-47d9-a48b-5a669dbd36fe,3b28da56-d06c-4341-8506-608c6371baac,2,Other speech foreign however center.,2025-09-23
c835d26a-c1e7-4371-9300-cbe382a27614,e5e8ceed-aaa4-4756-a0e2-dee07ea83d97,fc641ac2-249c-4401-8504-0f5c3469eac7,1,By none economic talk throw.,2025-02-28
fa60a650-cf6f-40f4-a64e-34af7d105545,ad333574-78e3-4935-8ef3-998f792a01f7,e3b02195-644c-4ff7-a868-d0822fa9cc98,2,He standard son onto follow himself positive.,2025-08-24
ef285dce-60ef-45be-82ee-fd4eb2643ffd,21e9dea3-620f-4251-9c0d-ad0518e0494d,8da94017-1810-4b80-84a6-6e834f5747e5,4,Feeling once career human since forward.,2025-09-23
b3d9a32b-af8a-4799-ba13-a2a21cacb879,987209a4-bb4d-4970-a718-48699f7bd0f8,ea1b598b-3061-4cf1-850a-5096597a6ed3,3,Prepare opportunity lot everything fish figure represent.,2025-06-02
dc2969d4-f46a-4937-8ac2-f903eb1ff808,03a727fe-2aac-4bfa-a289-acbd35ecca79,994314ec-dd3c-4f66-8439-07724dc7a119,2,Responsibility represent better happy side to traditional.,2025-03-23
a4c2180a-e39a-401a-aea4-15894b7c3546,e32f1d86-5bd4-4818-9922-3009ca652278,b6855c89-9fa0-490e-989f-b98819cfdba5,4,Personal want play card.,2025-09-04
1879c09c-5274-45af-bf2c-4b5f9a8537d0,66b5d456-bee0-4ae3-a55c-05a1e32e4ed9,7c7fdc6a-cd8d-42f4-a990-964e65b4b669,4,Main exist state.,2024-12-04
71650a9f-19cd-48af-bbf2-fafe46572e21,364d4c8f-7123-475d-8263-8cc4ba9cb058,5b61b0df-2f56-4f08-856c-fe0a61f3d067,5,Stay put hard situation community might.,2025-05-01
32540592-2e03-4313-98f3-b94ffc533969,96f12964-b7e2-456c-9437-2481d44841b8,0b2f8ad7-63fb-46f0-bb3a-68cce4c48436,5,Seek race account edge suggest federal discuss.,2025-09-10
86cc3323-66e9-4ce2-9a65-b5da730a33cf,8a57b55c-2eac-40cb-8678-060f232d5a7b,4b45b9eb-8144-440f-84f8-0e3a44c73241,3,Deep place she industry look if call building.,2025-01-10
e2748b2d-4752-40d3-a446-6db13b9a0710,ed885d9d-9e35-4232-bddf-8e9832c763e9,9355ca60-a46f-40f2-9321-ac7c4bbd1330,1,Could option tend.,2025-07-20
6a04323d-3be7-4378-b913-557ef9e65ff0,66b5d456-bee0-4ae3-a55c-05a1e32e4ed9,d11ee9d8-5feb-4d47-b32f-ad43dea07af4,4,Who radio attention five threat note trade.,2025-01-10
deeae1aa-f040-4537-81d4-af2b0e84b52d,2e3ceef8-1733-40ec-8ea7-d861a9edcd62,4107406b-16bb-456f-9107-7c7b7b749bd1,1,Figure hotel seek occur each walk plan.,2025-04-13
ebe2a411-e6eb-47cf-9829-9958da275b44,886e59a5-2f80-430b-a684-35283e4f086c,e8c70268-28f1-48b1-a31c-65693a4db562,2,Score officer rich.,2024-12-01
1585b88a-8f8a-47cc-97c1-f59bd6bf5899,5000c70a-7a51-4c56-9b96-9bb6809a8d95,bba00e9c-ee06-4f40-be5d-576503056053,5,Vote above image them standard recent American.,2025-03-21
51830024-dff7-4c36-8dad-10b40e8e7790,f7abca51-e4e2-403a-bd5e-b9006609fd8e,99ab796f-2c9b-4457-8051-b3c256238f38,4,Certainly discover guy write.,2025-05-14
fe7f72a8-9a95-446f-8237-3045c4c69d83,d2e5ab05-86fb-40b6-ba24-7b6d41f650dc,3a1b3a1f-69e7-4297-8add-a61499a4750e,5,Up feel until rise.,2025-06-23
c3a7c307-901f-4f4e-abab-5a67ad018334,b895ac2d-6670-4570-b9aa-4d326ed1fcf9,5bef564f-4d86-4c6e-b2db-c1c85c6ef50b,1,Half people Democrat rise outside through scientist seek.,2025-02-07
57fd9aa9-73f8-480c-9551-751d3219e616,e570fd8e-6ef8-4bd1-9616-c94056598447,f6ca5664-591a-4e5a-ba54-b7d24f0696a4,1,Event current determine week mean certainly film.,2025-10-09
f67009ab-3b12-4b57-a9f8-9e50dca51462,9a77c02a-6ba5-4f2b-be6f-637089ddad03,2d6d757b-c9a4-4a6b-b25a-f503d2dd5c6b,3,History whom meeting early character ten.,2025-05-29
ec180ac3-463d-419e-a660-44c29d998261,440159e8-dd7f-40b3-88ae-f8919fa5eddd,cc1907ab-677b-4c74-9286-15ab91e3a977,1,Send pattern Mr bed rich act.,2025-10-22
faa3635a-76b9-45a4-95e5-6b3c67462c3f,8e323f9b-64a8-493e-a31e-5e549c1bccd9,10fba50b-16d6-4d57-8393-d01c5781d5e5,1,Culture some page from forward where.,2024-11-26
8e56be8e-e62b-4a41-bdca-8631bf8120f4,1ecd9809-0b2f-4363-b94c-7b1555b7cbc5,d3078d61-eafe-4e60-b6d9-2ab48ee653bc,5,Catch entire sea agency wide across time.,2025-10-02
f0bfe582-38fd-4194-ba9e-885dc0710f35,53501f7a-cee1-4406-b3ae-67248e5c0785,423ef12a-cd19-423f-883b-f74be62e36e7,5,Write trade full likely live have.,2025-01-14
3df1e1a1-bbd5-41ac-add4-64a93996a493,03a727fe-2aac-4bfa-a289-acbd35ecca79,d220f2c6-29b7-4a29-8a31-ea589d41b68e,5,Economy might assume.,2025-06-03
bfb24204-b0a4-4b21-8d5a-476693bb4cc6,7298bef2-f9db-4f06-a498-4f2424ad21b2,b5b2d72d-1e2a-4815-a0e9-63fc84e9a781,4,Free life because audience good talk.,2025-01-01
9d7515a1-436d-4818-ae68-04ba7a08f1d2,5d94e067-ae3a-49db-b7d3-e2da69256179,6628a082-1668-4a91-90b0-cd974aa7d5d6,4,Provide weight available beyond less might.,2024-11-13
ebf55ead-80bf-4c97-b838-4cfd597c0d12,5acd1ef2-a42c-4207-b63f-8fb85cb75910,12ddfaf4-4a64-42c8-aaf4-22e7d4b56f42,3,Body former pay sure administration leader doctor international.,2025-04-02
059c7087-5555-43e9-9bce-ba1975b7b5ae,c99300c2-69c6-460d-b12a-716483e22466,20cd7f80-b550-4e8c-b0d7-4568db20e151,5,Unit break it not.,2025-08-24
7aaad44e-e75b-496b-86e2-c72acc1f6e78,a83dd71f-1f63-4687-a0d4-0ba11d21c59b,c9b867ef-a0f4-496c-a8fe-09fbb42a2256,1,Level hand beat name like could vote instead.,2025-06-12
a07ae44e-2486-41d7-ae38-451da3a1b3fe,bfc49e2c-726f-4ff8-84e8-62a2740a744f,7c7fdc6a-cd8d-42f4-a990-964e65b4b669,4,Green her professor stay knowledge.,2024-12-17
9b3b5142-bb82-4e57-be58-ca7095027383,a81cdc98-7037-46d6-b820-68629038ad0f,2a0db37d-1d67-4cc6-b36b-fe6dba5dceb8,2,Read take foreign worry news reality serve.,2025-03-21
7652fa46-8b9d-468b-a3b4-7ac42068504d,440159e8-dd7f-40b3-88ae-f8919fa5eddd,ea65c2f8-ecf2-4f62-9c45-efdb7aaaca84,5,Employee even meeting beautiful tend.,2025-11-07
77b1c975-ca46-486b-aa60-571378d63b10,c267954e-88f8-4d3e-84f1-c7c5528ef3c2,4b73ef8d-d366-4cb6-aa17-6692070bb9d7,4,Song race old book right.,2025-07-05
538f3239-cc40-41c5-ad77-a8e7e2dad4b4,e7804b6e-ec7f-45a6-8ec6-9cb13bc1d8a9,4b45b9eb-8144-440f-84f8-0e3a44c73241,5,Heavy institution mean receive wear apply if.,2025-10-29
