product_id,product_name,category,price,stock
9978171c-1c87-4d5c-881a-1d0046c8deff,Identify Away,Electronics,1435.37,39
53ba7b0c-bba8-4be2-bf4a-a509bd35435e,Board Example,Sports,469.77,142
461c77a7-1dd6-4d33-bfc0-a68f73ebf53f,Season Claim,Home,956.83,14
80a90d5d-02bd-409b-98ae-06c2a23208d9,Charge Policy,Home,613.71,67
74a25522-e8d3-45ad-bdf8-a4f47ab62511,Drug Plant,Home,683.93,198
d3078d61-eafe-4e60-b6d9-2ab48ee653bc,Plant Analysis,Sports,1056.36,92
ab15c359-b55c-4fe7-a6a5-32cc74f66507,I Four,Electronics,4246.89,141
4b73ef8d-d366-4cb6-aa17-6692070bb9d7,Meet Huge,Beauty,1881.78,101
6d44455a-2047-4e0d-aba0-88beb54df01e,Expect Reach,Home,1830.02,145
fb5d96ee-8fb9-4f6e-a822-f249c8eebadd,Partner Water,Electronics,3291.1,27
5f897a73-bd9b-4772-b325-5e1cc8d37bb7,Drug Answer,Home,1848.09,32
0c31ce31-e408-41b6-ab0d-f43c3a3faf0e,Center Success,Home,3173.94,104
f654a74f-703b-46a9-83c4-358dcdb1cad1,President Beat,Fashion,4555.68,144
4a3c1dd5-8e10-47c6-a336-ae45c5af7747,Change Stage,Fashion,928.91,61
270dc4ff-846d-4f33-a73a-3ed416961091,Full Bed,Fashion,2859.07,166
bc8fd274-09f3-444c-9833-d4c0df31b880,Improve Rich,Fashion,1341.54,121
dcc1394f-f9d6-40ae-bc0b-166052d6dbb3,Me Lead,Electronics,4117.96,171
b7a0ef87-56d0-4474-8c1b-d6cb87a26cb5,Another Tonight,Sports,3286.82,156
a11052e4-a735-4755-b795-1c7a086db03d,Wall Talk,Beauty,3963.44,96
dfb29129-672f-4950-807c-f01d57f73931,Million Perhaps,Electronics,899.39,115
ee18af4a-564d-4739-93ff-fd63d7c03d96,Several Sing,Beauty,818.46,72
f3e6fffa-fe39-4b99-864f-39d8c073361d,Field Certainly,Electronics,1860.49,136
e7ac8d03-5975-4417-afa3-1bfe5a1aaae5,Sport Surface,Sports,3980.79,111
8de16c96-5739-48be-8369-6aa0a6c65043,Event Large,Electronics,4885.91,82
2d6d757b-c9a4-4a6b-b25a-f503d2dd5c6b,Statement Black,Fashion,2373.81,199
dedad738-a806-4cfa-a39c-4f3e3fd845e7,Should Yes,Sports,3101.52,196
c425e1a4-2528-4c91-9110-02a688c27e81,Today Director,Electronics,2838.4,140
81902f2d-d701-4ae8-8806-59bd1b314edd,Coach Soon,Home,2437.37,170
5073c26b-b0af-4ead-a0d1-72732799fa2d,Spring Police,Sports,4630.93,185
e7d895a6-ad3c-484d-9a19-1aa4e72c76e1,Meet Piece,Beauty,740.59,32
6dc768e0-7f77-4efb-ab04-e56a2c14755a,Low Soldier,Home,3229.01,98
a043718a-e462-4fa3-a2c2-b8cd23981f12,Catch Somebody,Fashion,4966.25,39
d433d1a4-90c3-44ca-b971-3cfffc95c540,Artist Item,Electronics,3944.74,128
f6ca5664-591a-4e5a-ba54-b7d24f0696a4,His Administration,Sports,299.52,86
b14eb4eb-60f6-4afb-bd84-fe22c16416bb,Particular And,Sports,2117.66,71
211769d8-39f9-4eac-8a9a-a889720a7637,Then Focus,Fashion,4845.44,195
0e05577c-5096-470b-bf2f-31876e508315,Happy Usually,Fashion,1243.85,33
e51d342e-5dfe-448a-8f95-4d0a28c14933,Choose Owner,Beauty,821.1,82
e38e6d6c-ab50-4f39-985c-3364b0a94ec0,Generation Same,Electronics,564.96,65
5320c3ea-6fd1-4a30-bfee-acbfc277b94f,Test Kid,Home,2497.43,30
c39eb0e0-4d0c-4abe-a6e5-ec7655f080c1,Beautiful Central,Electronics,4461.16,107
ed651329-cd04-480c-b49f-d74a21160639,Education Recognize,Electronics,2485.61,107
95ff2d66-3c5d-4b26-8646-6e5bc049ba3a,Dinner Join,Electronics,1815.12,108
0b2f8ad7-63fb-46f0-bb3a-68cce4c48436,Pattern Science,Electronics,126.45,111
d6d436cc-c331-4170-84da-1a7a18c4edf3,Money Dark,Sports,3631.5,143
10a5e6f8-7df6-4f8a-b032-159ed8d35149,Bill Choice,Home,4856.07,31
2020a446-eca5-48d5-bb05-8356b1fb2b17,Ask Many,Beauty,4449.29,27
0dbef814-582d-433a-88dd-342fd68c21d2,Anyone Real,Beauty,1852.58,126
f67b82b6-2d8e-4af8-a090-3bb026d09a05,Face Artist,Beauty,2853.64,185
33e95fb2-0c23-467b-8b83-04c13a949be1,Space Cell,Beauty,1387.58,86
e627fe26-5159-4501-bcd6-01092439a168,Thing Including,Home,1631.54,142
6628a082-1668-4a91-90b0-cd974aa7d5d6,Chair Whom,Electronics,2061.54,158
5b61b0df-2f56-4f08-856c-fe0a61f3d067,Course As,Home,2276.79,53
57044e98-e139-4312-9b9c-5192e9852a2a,Idea Couple,Electronics,496.77,159
6d012c43-3e22-4700-a4ca-cbfe4019f87a,Stand Provide,Beauty,2751.86,54
c4411afa-95ed-4992-84c3-2e3f21c6c8e8,Pressure Hour,Sports,1147.73,161
2a0db37d-1d67-4cc6-b36b-fe6dba5dceb8,Production Star,Beauty,3840.54,158
5e80cf4a-4b84-4225-a996-9dfb18f95102,Fish Small,Fashion,1885.42,29
9cbab7bd-4948-4abe-8897-9ea632a7ef9e,Together Voice,Fashion,2981.94,192
ea65c2f8-ecf2-4f62-9c45-efdb7aaaca84,Popular World,Beauty,3607.16,121
f088fe16-c492-44c9-87ef-dccf0f6d8064,It Sign,Electronics,1986.66,85
3b28da56-d06c-4341-8506-608c6371baac,Address Most,Beauty,1447.45,125
9c519e21-6ac1-45f3-a875-fa1c6f271e75,Young Responsibility,Electronics,3555.92,135
3226b015-ce17-4a2a-92e0-a540f0b72d78,Ever Identify,Home,2445.58,37
7b51400c-3186-4244-82ef-ae6e91097f71,Others Tend,Fashion,4557.87,68
b33e4fc2-7e70-4d39-bad1-aa5204cec52a,Exactly Suggest,Beauty,1177.95,149
f0ef4afe-5e49-4587-9ef0-bd4c00394780,Magazine Budget,Sports,935.53,176
c6ceb09c-3977-4ed7-b276-4b512abac270,Blue Glass,Beauty,3026.48,66
4107406b-16bb-456f-9107-7c7b7b749bd1,Trial Control,Beauty,1597.14,97
4f300925-56a1-4f27-b3d0-e35c9870718b,Off Authority,Sports,4675.07,130
4b45b9eb-8144-440f-84f8-0e3a44c73241,Southern Agency,Home,2704.39,46
10fba50b-16d6-4d57-8393-d01c5781d5e5,City Matter,Sports,3391.22,71
48adeb93-523d-4407-846e-ab39fb8f9453,Assume Left,Beauty,1811.87,15
570cbddb-b8ca-48bf-9227-2e333b67d23a,Writer Than,Electronics,4101.41,21
3a3949d1-7c4c-48bd-855d-8c96dff4786c,Long You,Fashion,4216.94,46
34ea8c0c-7c11-44f3-ba3d-aaaae624331b,That Only,Sports,2643.72,31
e3175eaa-c999-4ea0-90b2-b3217cc8f37f,Character Election,Sports,3950.62,164
75b2f987-83f8-4dbf-81cc-a76e3b5054d8,Issue As,Beauty,4126.98,184
5736c8f8-1713-40fb-8b05-ec43ed13fbe9,Company Foreign,Beauty,1523.65,135
01ec7ded-f7d7-4996-8eb4-2514b23883e0,Much Card,Beauty,4950.48,31
7b8a86c9-bed5-4093-862b-f64d218eabe1,Firm Water,Sports,4845.29,92
f901a678-e9c5-4e91-a80b-4e28f9678194,But Task,Sports,1140.71,193
af65c38c-a5ca-474c-92a4-b2fe417af9b8,Result Place,Home,2525.36,15
0cb6dc6e-c702-4cd1-9dab-919d5968a533,Discuss Could,Home,1373.45,98
1f120c56-073b-467d-a72e-736ed9b23fd5,Once Glass,Electronics,3587.11,85
99ab796f-2c9b-4457-8051-b3c256238f38,Relate Miss,Electronics,4160.99,123
cab043dd-0108-489b-8322-c0bfd9d446df,Single Wish,Beauty,1682.24,141
3290ec3e-370e-4375-8781-551c89133102,Win Action,Fashion,1554.29,52
2b6ee70d-061a-4c07-8e4a-f0690a0e479c,Young Leg,Beauty,3640.28,81
bf744caf-093c-429c-90b5-02e4879af717,Bad Record,Sports,2715.09,69
dc4bee32-1744-41d4-ae17-2c7c00f13463,Difficult Science,Electronics,2110.04,170
db9afe4c-47dd-4500-81dc-c6c067e3deeb,Design Trial,Sports,3170.54,77
7d1bbd62-d536-4780-8b83-b490d78561ee,Phone Commercial,Beauty,1664.03,11
bb482335-4c5e-4d17-87d8-900b14d0385e,Government Safe,Home,345.83,77
c9b867ef-a0f4-496c-a8fe-09fbb42a2256,Let History,Fashion,1461.28,173
02810111-07ef-44f2-8a7e-fc8c23dfd275,Why Walk,Electronics,1238.5,197
54510622-ea44-4c83-ae2f-c9cd89fcea29,Party Ago,Fashion,737.83,86
c6cc2e17-a0b6-4628-838a-4712dde6ffe6,First Own,Electronics,2872.97,183
ef77cfe5-f184-4e0d-b9e5-00d7e075e45b,Ability The,Home,2079.02,110
e139eab1-e201-48c6-a2e1-9afd1d84f046,Decide Another,Fashion,4057.35,159
994314ec-dd3c-4f66-8439-07724dc7a119,Produce Condition,Electronics,3225.93,75
9355ca60-a46f-40f2-9321-ac7c4bbd1330,Of Wear,Electronics,2823.56,30
aaa9ea5d-045d-4c41-9087-0a958872a0f9,Agent Analysis,Sports,3399.06,138
397acaac-ecb8-4033-b647-fc07b50d9a7e,Sell Smile,Beauty,2914.76,198
474c3daa-a5c0-40db-b77b-5d55c6f315df,Official Side,Electronics,3382.15,17
8da94017-1810-4b80-84a6-6e834f5747e5,Also Offer,Beauty,3654.85,121
989ac506-4c2a-4c71-81b8-6bcfafa72310,Ahead Effect,Fashion,3250.05,31
e90e11c6-04f8-4ba4-851f-f2915c466ccf,Agency Window,Fashion,1709.29,19
8945de19-c00a-4d08-9fdc-ee3843a01bf0,Television Machine,Fashion,609.96,75
d90595e4-e786-491b-a084-1ceef6e25663,Ok Tax,Electronics,3020.17,144
dde4f7ed-5c95-4c12-bb50-dacf394e6d42,Project Themselves,Beauty,1208.97,122
f89bc9be-2cb3-4064-8850-8d1330ead62c,Evening Whether,Electronics,1101.9,189
2ff1670e-e079-45ce-99d5-fdf4e5ad2363,Leave Social,Sports,692.36,40
aa4f63c0-8291-45c4-a2dd-a948e3a0e284,Store Less,Home,3704.01,177
b5b2d72d-1e2a-4815-a0e9-63fc84e9a781,Possible Election,Sports,2604.34,170
ceedc62d-5012-4e06-8301-ccc254ebec64,City Government,Electronics,2883.8,80
2795e2ea-0515-4ad6-adeb-809a42117ca9,Food Item,Sports,2234.28,18
e8c70268-28f1-48b1-a31c-65693a4db562,Position Republican,Sports,2748.59,87
247b219b-27e2-4c46-9017-e7d16657eaad,Care Partner,Electronics,4872.38,185
4a75b951-81c8-43b2-842e-a1014bd1e8c4,Coach Admit,Home,1697.98,55
b7c46442-a4c2-41fb-9d35-46cc42789f7c,Common Anyone,Fashion,1994.68,181
6c0deed3-9f37-4dcc-9147-edc54199a365,Walk Agent,Beauty,4433.46,71
20cd7f80-b550-4e8c-b0d7-4568db20e151,East Create,Electronics,559.95,177
e2dcf6b2-f85d-4c57-af57-e660862bed30,Past Matter,Home,1556.93,175
